FOOD NAME,SCIENTIFIC NAME,GROUP,SUB GROUP
Fruit-flavor drink,NULL,Vegetables,Other beverages
Vegetable juice,NULL,Vegetables,Other beverages
Horchata,NULL,Vegetables,Other beverages
Soft drink,NULL,Vegetables,Other beverages
Frozen yogurt,NULL,Vegetables,Frozen desserts
Milkshake,NULL,Vegetables,Frozen desserts
Chocolate mousse,NULL,Vegetables,Desserts
Dripping,NULL,Vegetables,Animal fats
Pupusa,NULL,Vegetables,Latin American cuisine
Empanada,NULL,Vegetables,Latin American cuisine
Arepa,NULL,Vegetables,Latin American cuisine
Ascidians,Ascidiacea,Vegetables,Other aquatic foods
Gefilte fish,NULL,Vegetables,Jewish cuisine
Yellow pond-lily,Nuphar lutea,Vegetables,Herbs
Fish burger,NULL,Vegetables,Sandwiches
Other dish,NULL,Vegetables,Other dishes
Pot pie,NULL,Vegetables,Other dishes
Stuffing,NULL,Vegetables,Baking goods
Edible shell,NULL,Vegetables,Wrappers
Fudge,NULL,Vegetables,Candies
Candy bar,NULL,Vegetables,Candies
Condensed milk,NULL,Vegetables,Other milk products
Margarine,NULL,Vegetables,Vegetable fats
Margarine-like spread,NULL,Vegetables,Vegetable fats
Hummus,NULL,Vegetables,Levantine cuisine
Potato puffs,NULL,Vegetables,Potato dishes
Potato gratin,NULL,Vegetables,Potato dishes
Milk substitute,NULL,Vegetables,Substitutes
Pepper (C. pubescens),Capsicum pubescens,Vegetables,Fruit vegetables
Soft-necked garlic,Allium sativum L. var. sativum,Vegetables,Herbs
Cabbage,Brassica oleracea var. capitata,Vegetables,Cabbages
Chinese bayberry,Myrica rubra,Vegetables,Berries
Mushrooms,NULL,Vegetables,Mushrooms
Alcoholic beverages,NULL,Vegetables,Alcoholic beverages
Onion-family vegetables,NULL,Vegetables,Onion-family vegetables
Pomes,NULL,Vegetables,Pomes
Brassicas,NULL,Vegetables,Brassicas
Cereals and cereal products,NULL,Vegetables,Cereals and cereal products
Citrus,NULL,Vegetables,Citrus
Cocoa and cocoa products,NULL,Vegetables,Cocoa and cocoa products
Coffee and coffee products,NULL,Vegetables,Coffee and coffee products
Crustaceans,NULL,Vegetables,Crustaceans
Milk and milk products,NULL,Vegetables,Milk and milk products
Fats and oils,NULL,Vegetables,Fats and oils
Fishes,NULL,Vegetables,Fishes
Herbs and Spices,NULL,Vegetables,Herbs and Spices
Pulses,NULL,Vegetables,Pulses
Animal foods,NULL,Vegetables,Animal foods
Mollusks,NULL,Vegetables,Mollusks
Nuts,NULL,Vegetables,Nuts
Beverages,NULL,Vegetables,Beverages
Fruits,NULL,Vegetables,Fruits
Green vegetables,NULL,Vegetables,Green vegetables
Root vegetables,NULL,Vegetables,Root vegetables
Sunburst squash (pattypan squash),Cucurbita pepo var. clypeata,Vegetables,Gourds
Green zucchini,Cucurbita pepo var. cylindrica,Vegetables,Gourds
Yellow zucchini,Cucurbita pepo var. cylindrica,Vegetables,Gourds
Green bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Orange bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Red bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Italian sweet red pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow wax bean,Phaseolus vulgaris,Vegetables,Beans
Green bean,Phaseolus vulgaris,Vegetables,Beans
Saskatoon berry,Amelanchier alnifolia,Vegetables,Berries
Nanking cherry,Prunus tomentosa,Vegetables,Berries
Japanese pumpkin,Cucurbita maxima,Vegetables,Gourds
White cabbage,Brassica oleracea L. var. capitata L. f. alba DC.,Vegetables,Cabbages
Romaine lettuce,Lactuca sativa L. var. longifolia,Vegetables,Leaf vegetables
Cow milk- pasteurized- vitamin A + D added- 0% fat,NULL,Vegetables,Unfermented milks
Cow milk- pasteurized- vitamin A + D added- 1% fat,NULL,Vegetables,Unfermented milks
Cow milk- pasteurized- vitamin A + D added- 2% fat,NULL,Vegetables,Unfermented milks
Cow milk- pasteurized- vitamin D added- 3.25% fat,NULL,Vegetables,Unfermented milks
